headline,place,date,day,words,byline
"GAITHO:Turning on Somalis foolish, self-defeatingmgaitho@ke.nationmedia.com",,"November 19, 2012",Monday,688,MACHARIA GAITHO -1
How Jazz Maestro Walked Into Hearts of Citizens,,"January 17, 2012",Tuesday,489,Anthony Njagi
Inequality Pushing Youths to Join Shabaab - Report,,"January 26, 2012",Thursday,399,Aggrey Mutambo
Insurance Firms Betting On Polls,,"February 9, 2012",Thursday,327,Joshua Masinde
Interest in Stable Country Grows,,"February 4, 2012",Saturday,768,Lucas Barasa
It Might Be More Useful to Engage With Secessionists Than to Ban Them [opinion],opinion,"February 26, 2012",Sunday,719,Rasna Warah
Jailed Briton in Court Over Attack On Police Officers,,"January 25, 2012",Wednesday,273,Richard Munguti
Juba Appeals for Govt's Help in Row,,"February 17, 2012",Friday,225,
K'orengo's Nyatiti Falls Silent,,"January 13, 2012",Friday,764,Billie Odidi
KDF - Key Al-Shabaab Arms Centre Seized,,"January 28, 2012",Saturday,299,Zadock Angira
KDF Halfway Through Somalia Operation,,"January 21, 2012",Saturday,589,John Ngirachu
KDF Must Finish the Mission in Somalia [opinion],opinion,"January 2, 2012",Monday,220,
Kibaki Heads to London for Somalia Meet,,"February 22, 2012",Wednesday,262,Pps
Kibaki to Attend London Conference On Somalia,,"February 20, 2012",Monday,347,
Kibaki Wants Resolute Somalia Action,,"February 23, 2012",Thursday,814,
Kismayu a Key Target but Not Priority - KDF,,"February 18, 2012",Saturday,760,Aggrey Mutambo and Mathias Ringa
Law Seeks to Regulate Private Security Firms,,"February 4, 2012",Saturday,550,Fred Mukinda
Man Arrested for Taking Pictures of Central Bank,,"January 20, 2012",Friday,394,Fred Mukinda
Man's Ordeal in Al-Shabaab Captivity,,"January 20, 2012",Friday,647,Patrick Mayoyo Nurdin Elmoge
MATHIU: I wonder how we'll conduct poll debatesmmathiu@ke.nationmedia.com,,"November 22, 2012",Thursday,703,MUTUMA MATHIU -1
"MATHIU: There's more to the deadly reaction to Rogo's deathByline: MUTUMA MATHIU , mmathiu@ke.nationmedia.com,  -1",,"August 30, 2012",Thursday,682,"MUTUMA MATHIU , ,  -1"
"MATHIU: When Kismayu falls, Somalia will still be a minefield for our soldiersByline: MUTUMA MATHIU , mmathiu@ke.nationmedia.com,  -1",,"September 20, 2012",Thursday,699,"MUTUMA MATHIU , ,  -1"
MATHIU: Why this election must not be business as usual,,"November 14, 2012",Wednesday,665,
"MATHIU: Why this election must not be business as usualByline: MUTUMA MATHIU , mmathiu@k.nationmedia.com,  -1",,"November 14, 2012",Wednesday,927,"MUTUMA MATHIU , ,  -1"
Military Says Its Mission to Cripple Shabaab Is Largely Accomplished,,"January 21, 2012",Saturday,593,John Ngirachu
Miraa Dealers Lose Top Dutch Market After Ban,,"January 11, 2012",Wednesday,380,Muthoki Mumo
Navy Ship Finally to Sail Home,,"February 7, 2012",Tuesday,531,Peter Leftie
Omar Wants to Be Senator After Stint At KNCHR,,"January 7, 2012",Saturday,385,Nyambega Gisesa
PM Odinga Urges Refugees to Wait End of War,,"February 3, 2012",Friday,268,Aggrey Mutambo
Police Arrest Muslim Cleric With Illegal Firearms,,"January 29, 2012",Sunday,391,Anthony Kitimo and Philip Muyanga
Police Holding 29 Ugandans in Probe,,"January 14, 2012",Saturday,251,Zadock Angira
Police Train Private Security Firms' Staff On Explosives in War Against Terrorism,,"February 13, 2012",Monday,949,Anthony Kitimo
Police Want Baraza Tried,,"January 9, 2012",Monday,868,Fred Mukinda
Poor Transition From Primary to High School Threatens Peace and Stability [opinion],opinion,"January 11, 2012",Wednesday,778,Raphael Tuju
Presidential Hopefuls Scramble for Coast,,"January 14, 2012",Saturday,747,Mwakera Mwajefa
Probe Starts On Citizens Spying for Al-Shabaab,,"February 1, 2012",Wednesday,628,
"Revolutions: Are they a case of false dawns?Byline: AGASTEE KHANTE (, akhante@ke.nationmedia.com, ) -1",,"April 17, 2012",Tuesday,607,"AGASTEE KHANTE (, , ) -1"
Seven Al-Shabaab Recruits Arrested,,"January 10, 2012",Tuesday,328,
Shabaab Blamed for Garissa Deaths,,"February 4, 2012",Saturday,436,Fred Mukinda and Issa Hussein
"Shabaab Hold Demos to Show Al Qaeda Support, KDF",,"February 13, 2012",Monday,299,Emmanuel Onyango
"Shabaab-Qaeda Link a Weakness, Says KDF",,"February 11, 2012",Saturday,475,Zaddock Angira
Sheikh Ali - the Making of a Terrorist Commander,,"January 22, 2012",Sunday,730,Nyambega Gisesa
"Sheikh Rogo Arrested Again, Weapons Seized",,"January 29, 2012",Sunday,575,Anthony Kitimo and Philip Muyanga
Somali Refugee Leader Killed At Dadaab Camp,,"January 2, 2012",Monday,346,
"Somalia Residents Mediate Release of Hostages, Says Oguna",,"February 18, 2012",Saturday,803,Aggrey Mutambo
Talks Start in London to Discuss Stability in War-Ravaged Country,,"February 22, 2012",Wednesday,480,Lucas Barasa
Terror Alert As Al-Qaeda Pair Enters Country,,"January 8, 2012",Sunday,577,Patrick Mayoyo and Fred Mukinda
Terror Attacks in Your Home Can't Be Tolerated [opinion],opinion,"February 3, 2012",Friday,484,Randall Smith
"Terror, Cyber Crime New EAC Security Threat - Kiraso",,"January 17, 2012",Tuesday,389,Lucas Barasa
The Budget Question in the Next Election Date,,"January 24, 2012",Tuesday,710,Mwaniki Wahome
The Destructive Fifth Column That Crawls Out Every Election Year [opinion],opinion,"February 4, 2012",Saturday,807,Njuguna Mutonya
The Ghetto Life of a Police Officer,,"January 10, 2012",Tuesday,1207,Zaddock Angira
The Scorpions and Anti-Graft Fight on Continent - a Tribute to the Possible [opinion],opinion,"January 7, 2012",Saturday,1026,
Time to Resist Politicians' Bullying Tactics [opinion],opinion,"February 24, 2012",Friday,502,Gabriel Dolan
Time to Shut Down Dadaab Refugee Camp [opinion]letters9876@gmail.com,opinion]letters9876@gmail.co,"February 24, 2012",Friday,424,Randall Smith
Trial of Briton in Bomb Plot Adjourned,,"February 20, 2012",Monday,517,Philip Muyanga
U.S. Ponders Re-Arming Amisom Amid Terror Groups Merger,,"February 11, 2012",Saturday,463,Kevin J Kelley and Zadock Angira
Why Latest Foreign 'Re-Colonisation' Project Is Doomed to Fail [opinion],opinion,"February 12, 2012",Sunday,712,Rasna Warah
Why This Man Holds Vital Clues to Shabaab,,"January 12, 2012",Thursday,488,Fred Mukinda
